6.80109,-2.55E-09,-3.04E-09
6.8501,-2.61E-09,4.70E-10
6.90087,-2.51E-09,3.11E-09
6.95164,-2.35E-09,2.79E-09
7.00067,-2.26E-09,7.62E-10
7.05145,-2.30E-09,-2.59E-09
7.10049,-2.47E-09,-3.59E-09
7.15128,-2.62E-09,-1.93E-09
7.20033,-2.66E-09,3.84E-10
7.25114,-2.57E-09,2.88E-09
7.30019,-2.41E-09,3.20E-09
7.35101,-2.32E-09,-1.10E-10
7.40008,-2.39E-09,-2.43E-09
7.45091,-2.55E-09,-3.55E-09
7.50174,-2.70E-09,-2.11E-09
7.55083,-2.73E-09,1.34E-09
7.60168,-2.59E-09,3.33E-09
7.65077,-2.45E-09,2.14E-09
7.70163,-2.39E-09,-1.09E-10
7.75074,-2.47E-09,-2.99E-09
7.80161,-2.66E-09,-3.62E-09
7.85072,-2.78E-09,-1.15E-09
7.9016,-2.77E-09,1.45E-09
7.95074,-2.64E-09,3.41E-09
8.00163,-2.48E-09,2.28E-09
8.05077,-2.45E-09,-1.09E-09
8.10167,-2.58E-09,-3.31E-09
8.15082,-2.74E-09,-3.18E-09
8.20174,-2.86E-09,-9.23E-10
8.2509,-2.82E-09,2.23E-09
8.30007,-2.67E-09,3.35E-09
8.351,-2.55E-09,1.26E-09
8.40018,-2.53E-09,-7.26E-10
8.45113,-2.65E-09,-3.76E-09
8.50032,-2.84E-09,-3.04E-09
8.55127,-2.91E-09,-1.30E-10
8.60048,-2.87E-09,1.94E-09
8.65144,-2.72E-09,3.38E-09
8.70066,-2.59E-09,1.45E-09
8.75163,-2.60E-09,-1.77E-09
8.80086,-2.73E-09,-3.14E-09
8.85009,-2.88E-09,-2.61E-09
8.90108,-2.96E-09,-1.97E-10
8.95032,-2.90E-09,2.28E-09
9.00133,-2.76E-09,2.92E-09
9.05058,-2.65E-09,1.20E-09
9.10159,-2.68E-09,-2.30E-09
9.15085,-2.83E-09,-3.38E-09
9.20012,-2.96E-09,-1.46E-09
9.25115,-2.99E-09,2.53E-10
9.30043,-2.92E-09,2.50E-09
9.35147,-2.77E-09,2.67E-09
9.40076,-2.69E-09,5.56E-10
9.45005,-2.72E-09,-1.87E-09
9.50111,-2.87E-09,-3.39E-09
9.55041,-3.00E-09,-1.66E-09
9.60147,-3.02E-09,7.90E-10
9.65079,-2.93E-09,2.64E-09
9.7001,-2.78E-09,2.98E-09
9.75119,-2.69E-09,2.00E-10
9.80051,-2.75E-09,-2.21E-09
9.8516,-2.89E-09,-2.98E-09
9.90094,-3.01E-09,-1.25E-09
9.95028,-3.00E-09,1.37E-09
10.0014,-2.89E-09,2.54E-09
10.0507,-2.76E-09,2.42E-09
10.1001,-2.70E-09,-1.08E-10
10.1512,-2.77E-09,-2.36E-09
10.2006,-2.89E-09,-2.33E-09
10.2517,-2.98E-09,-8.82E-10
10.3011,-2.97E-09,1.31E-09
10.3505,-2.86E-09,2.82E-09
10.4016,-2.73E-09,1.91E-09
10.451,-2.69E-09,-1.10E-10
10.5004,-2.75E-09,-2.26E-09
10.5515,-2.88E-09,-2.60E-09
10.6009,-2.96E-09,-1.62E-10
10.6503,-2.92E-09,1.50E-09
10.7015,-2.80E-09,2.82E-09
10.7509,-2.68E-09,1.66E-09
10.8003,-2.66E-09,-5.77E-10
10.8515,-2.73E-09,-2.23E-09
10.901,-2.85E-09,-2.34E-09
10.9504,-2.94E-09,-6.64E-10
11.0016,-2.89E-09,2.24E-09
11.051,-2.76E-09,2.57E-09
11.1005,-2.66E-09,1.45E-09
11.1517,-2.64E-09,-6.50E-10
11.2011,-2.72E-09,-2.69E-09
11.2506,-2.86E-09,-2.19E-09
11.3,-2.90E-09,5.44E-10
11.3513,-2.83E-09,1.72E-09
11.4007,-2.73E-09,2.19E-09
11.4502,-2.64E-09,1.34E-09
11.5014,-2.63E-09,-1.05E-09
11.5509,-2.72E-09,-2.48E-09
11.6004,-2.84E-09,-1.94E-09
11.6516,-2.89E-09,3.80E-10
11.7011,-2.82E-09,1.90E-09
11.7506,-2.72E-09,2.04E-09
11.8001,-2.63E-09,1.18E-09
11.8514,-2.64E-09,-1.29E-09
11.9009,-2.74E-09,-2.36E-09
11.9504,-2.83E-09,-1.29E-09
12.0017,-2.86E-09,-6.84E-11
12.0512,-2.83E-09,1.51E-09
12.1007,-2.73E-09,2.21E-09
12.1502,-2.65E-09,6.87E-10
12.2015,-2.66E-09,-9.81E-10
12.2511,-2.74E-09,-1.98E-09
12.3006,-2.84E-09,-2.03E-09
12.3501,-2.90E-09,-9.59E-11
12.4014,-2.85E-09,1.76E-09
12.451,-2.76E-09,1.69E-09
12.5005,-2.70E-09,6.31E-10
12.5501,-2.71E-09,-9.93E-10
12.6014,-2.80E-09,-2.29E-09
12.651,-2.90E-09,-1.52E-09
12.7005,-2.94E-09,6.22E-11
12.7501,-2.90E-09,1.44E-09
